"","REGIÓN","2008.0","2009.0","2010.0","2011.0","2012.0","2013.0","2014.0","2015.0","2016.0","2017.0","2018.0","2019.0","2020.0"
"1","Amazonas",0.559497188280721,0.63046362943213,0.683,0.698852705555303,0.665697582357114,0.752361020463719,0.807971460159664,0.869929313561103,0.867566527719,0.854785150006682,0.861733316210136,0.899073407251171,0.884130987807449
"2","Áncash",0.446550526325013,0.550807421813482,0.633,0.654198037713859,0.64869095506607,0.688617441716078,0.716482783372305,0.741431774803144,0.765985601160555,0.805943019695976,0.816769488914272,0.827306212937427,0.826252829703336
"3","Apurímac",0.715536483616746,0.827301619839177,0.891,0.877501424086463,0.879440897612691,0.899199334620518,0.907632071168832,0.90640077834459,0.910525727092223,0.908591159101821,0.928078672286763,0.900723358267456,0.910953377702995
"4","Arequipa",0.535277232397446,0.577600033534194,0.625,0.650269838695195,0.579316766644027,0.570905876131357,0.559297942518713,0.609495761548551,0.631912417642897,0.640677873643826,0.655265778441251,0.669315923806548,0.639168590003954
"5","Ayacucho",0.72820358358848,0.819905149962714,0.853,0.854281955242012,0.77275189329253,0.807631842543795,0.858257923996414,0.878136382344444,0.888201672495913,0.884896092141349,0.899071524172141,0.894863626423216,0.885168717085906
"6","Cajamarca",0.573897436451612,0.686197841927866,0.746,0.780702832991032,0.738494195913998,0.776078694850547,0.77095613480392,0.825844277280557,0.822134148094415,0.84522922525307,0.856275427807986,0.871358961970313,0.865812347721775
"7","Prov. Const. del Callao",0.543858062845006,0.616,0.643,0.610110521430603,0.637250183703613,0.701834486792354,0.75064291363711,0.766691405262263,0.786201548537011,0.768102488006999,0.772674478563813,0.775361447447208,0.767134889147969
"8","Cusco",0.562707740990737,0.648307868734902,0.677,0.73717927744064,0.708806297260687,0.709392306021713,0.721524691975395,0.764986391960994,0.772472198696202,0.766680911351957,0.775091045869068,0.822591398941424,0.823350325415105
"9","Huancavelica",0.644187314372348,0.829133836014012,0.883,0.900804687247392,0.853383569779926,0.873673391631406,0.917872457964796,0.944512485275267,0.942815342640745,0.935397792336819,0.940172870479574,0.940996661288614,0.943206405383433
"10","Huánuco",0.701718169091501,0.77872342601303,0.819,0.813099154786718,0.793321062757881,0.801531882099732,0.781699871130268,0.801516259418811,0.824508161967506,0.834497334360029,0.828735601360614,0.857981896965934,0.869170551093252
"11","Ica",0.493506424511535,0.558639068218098,0.601,0.637669875896718,0.610540460970927,0.618841674598612,0.61120666356399,0.638797450800202,0.664038201224642,0.666478599904807,0.674282968438081,0.711471746578839,0.707993134405343
"12","Junín",0.433182074849051,0.455920735084132,0.513,0.525785510805359,0.483490101366169,0.537925610601394,0.597231182771608,0.657168190289941,0.721579445273262,0.741557560231653,0.743609432802469,0.736711514411633,0.764281519591484
"13","La Libertad",0.572605578848671,0.666843953097826,0.673,0.643647070901485,0.628864755598703,0.641241506323815,0.681528099928248,0.702695013905747,0.749799271003867,0.735530767374169,0.736670307013899,0.728031451988831,0.736296578915763
"14","Lambayeque",0.592747372863105,0.666368615062934,0.658,0.590308938007914,0.494148142466057,0.56927866164091,0.615672972403083,0.706374435774841,0.784681856971959,0.779343027633152,0.774530892629399,0.78610556394266,0.790229170220664
"15","Lima",0.487,0.528,0.541,0.562640112106896,0.587854011055376,0.626282767317033,0.668839767885537,0.701981002350334,0.731083206601353,0.738340960376459,0.732253525730197,0.74798336341721,0.732830533117934
"16","Lima Metropolitana 1/",0.487179346183967,0.524351523994593,0.536694200790373,0.560240895743533,0.585620646366078,0.623281902566377,0.666503497903423,0.697802370163209,0.727204212756884,0.737275337142399,0.728080963109729,0.74426276576914,0.730878949634256
"17","Lima 2/",0.484,0.557,0.579,0.585083452846272,0.608971321994487,0.655130262020964,0.69110161907679,0.74234149779956,0.768762875941328,0.748825155153707,0.773564102767935,0.785121084691965,0.752425939639144
"18","Loreto",0.660397965368021,0.760460729254768,0.836,0.817932972448104,0.667514491162648,0.741587662717733,0.795011592889058,0.801332456915359,0.838634301753911,0.838858742155313,0.844783512348198,0.868377973972965,0.850526342567815
"19","Madre de Dios",0.428831875334914,0.49139278412993,0.516,0.556418962254748,0.472939276204247,0.464957210413325,0.52083162306986,0.620263917730408,0.671120465506695,0.677379245384862,0.689248109981831,0.698597925270253,0.720962767461642
"20","Moquegua",0.535317548485055,0.617017833565218,0.668,0.648330851008601,0.644248824164094,0.628306097708782,0.664069567912856,0.742188879431204,0.775044073015394,0.763835837842465,0.798382440696791,0.807506385737183,0.778580783467454
"21","Pasco",0.465572626516519,0.564015420444487,0.621,0.595619206493456,0.532534756613234,0.646359694077093,0.675504553940259,0.768641121038046,0.820804129823157,0.841562162778177,0.844348980559999,0.849635279828708,0.843885383403406
"22","Piura",0.511566619486524,0.627779695276325,0.66,0.635967275975672,0.551395184472753,0.616912209949191,0.682056000427303,0.702928376578524,0.744638352718959,0.768053795688953,0.778843565908476,0.789297878355164,0.797744706039237
"23","Puno",0.545314241860341,0.57438042830642,0.54,0.624789444658634,0.575891354429314,0.60685484564594,0.62934313365946,0.687381197746813,0.700602776753296,0.715149007684656,0.707100872753092,0.696115625984209,0.682437061793429
"24","San Martín",0.588646208033406,0.671618888233153,0.746,0.754362179366938,0.67328960533504,0.663978538792665,0.769753086990562,0.837032958536604,0.852062967651393,0.852889485930372,0.820674614774952,0.835709075384494,0.842561102757585
"25","Tacna",0.458002696419915,0.466894732227858,0.519,0.401256803914734,0.408823883212681,0.439944426033469,0.480045494583279,0.55076181407318,0.575795995721903,0.548382802610378,0.576247816372916,0.602680850099931,0.683824988087401
